'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05093352488822338
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05470624761289905
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.050013581575922006
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.052288779273277845
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.0578538061797557
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.04920884407421021
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05207229880008327
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05534120327717549
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05050757262095107
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05913882016094491
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.055275800866140444
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05757599961575787
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.06110872558839348
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.061618262997259456
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.053032460877083805
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05049234519133697
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.053378121391016775
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.04982187602197239
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.050069660983734846
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05232969335643329
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.06447816588301772
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.056065603734690175
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.06493633517011284
